quarter,town,flat_type,median_price
2007-04-01,Ang Mo Kio,3-room,172000.0
2007-04-01,Ang Mo Kio,4-room,260000.0
2007-04-01,Ang Mo Kio,5-room,372000.0
2007-07-01,Ang Mo Kio,3-room,190000.0
2007-07-01,Ang Mo Kio,4-room,280000.0
2007-07-01,Ang Mo Kio,5-room,420800.0
2007-10-01,Ang Mo Kio,3-room,203000.0
2007-10-01,Ang Mo Kio,4-room,307000.0
2007-10-01,Ang Mo Kio,5-room,423000.0
2008-01-01,Ang Mo Kio,3-room,215000.0
2008-01-01,Ang Mo Kio,4-room,313500.0
2008-01-01,Ang Mo Kio,5-room,435500.0
2008-04-01,Ang Mo Kio,3-room,230000.0
2008-04-01,Ang Mo Kio,4-room,321000.0
2008-04-01,Ang Mo Kio,5-room,471900.0
2008-07-01,Ang Mo Kio,3-room,238900.0
2008-07-01,Ang Mo Kio,4-room,333000.0
2008-07-01,Ang Mo Kio,5-room,468000.0
2008-10-01,Ang Mo Kio,3-room,246000.0
2008-10-01,Ang Mo Kio,4-room,341000.0
2008-10-01,Ang Mo Kio,5-room,468800.0
2009-01-01,Ang Mo Kio,3-room,244400.0
2009-01-01,Ang Mo Kio,4-room,338000.0
2009-01-01,Ang Mo Kio,5-room,
2009-04-01,Ang Mo Kio,3-room,246000.0
2009-04-01,Ang Mo Kio,4-room,340000.0
2009-04-01,Ang Mo Kio,5-room,490000.0
2009-07-01,Ang Mo Kio,3-room,256500.0
2009-07-01,Ang Mo Kio,4-room,355500.0
2009-07-01,Ang Mo Kio,5-room,488000.0
2009-10-01,Ang Mo Kio,3-room,274000.0
2009-10-01,Ang Mo Kio,4-room,371500.0
2009-10-01,Ang Mo Kio,5-room,503000.0
2010-01-01,Ang Mo Kio,3-room,278000.0
2010-01-01,Ang Mo Kio,4-room,384500.0
2010-01-01,Ang Mo Kio,5-room,503000.0
2010-04-01,Ang Mo Kio,3-room,290000.0
2010-04-01,Ang Mo Kio,4-room,389500.0
2010-04-01,Ang Mo Kio,5-room,550000.0
2010-07-01,Ang Mo Kio,3-room,305000.0
2010-07-01,Ang Mo Kio,4-room,408000.0
2010-07-01,Ang Mo Kio,5-room,589000.0
2010-10-01,Ang Mo Kio,3-room,310000.0
2010-10-01,Ang Mo Kio,4-room,418000.0
2010-10-01,Ang Mo Kio,5-room,580000.0
2011-01-01,Ang Mo Kio,3-room,318000.0
2011-01-01,Ang Mo Kio,4-room,418000.0
2011-01-01,Ang Mo Kio,5-room,590800.0
2011-04-01,Ang Mo Kio,3-room,330000.0
2011-04-01,Ang Mo Kio,4-room,423000.0
2011-04-01,Ang Mo Kio,5-room,610000.0
2011-07-01,Ang Mo Kio,3-room,340800.0
2011-07-01,Ang Mo Kio,4-room,445500.0
2011-07-01,Ang Mo Kio,5-room,599000.0
2011-10-01,Ang Mo Kio,3-room,341500.0
2011-10-01,Ang Mo Kio,4-room,468000.0
2011-10-01,Ang Mo Kio,5-room,606400.0
2012-01-01,Ang Mo Kio,3-room,350000.0
2012-01-01,Ang Mo Kio,4-room,455000.0
2012-01-01,Ang Mo Kio,5-room,621500.0
2012-04-01,Ang Mo Kio,3-room,346000.0
2012-04-01,Ang Mo Kio,4-room,460000.0
2012-04-01,Ang Mo Kio,5-room,620000.0
2012-07-01,Ang Mo Kio,3-room,357000.0
2012-07-01,Ang Mo Kio,4-room,473000.0
2012-07-01,Ang Mo Kio,5-room,652500.0
2012-10-01,Ang Mo Kio,3-room,363000.0
2012-10-01,Ang Mo Kio,4-room,489000.0
2012-10-01,Ang Mo Kio,5-room,640000.0
2013-01-01,Ang Mo Kio,3-room,366000.0
2013-01-01,Ang Mo Kio,4-room,495000.0
2013-01-01,Ang Mo Kio,5-room,649000.0
2013-04-01,Ang Mo Kio,3-room,368000.0
2013-04-01,Ang Mo Kio,4-room,488000.0
2013-04-01,Ang Mo Kio,5-room,667500.0
2013-07-01,Ang Mo Kio,3-room,362300.0
2013-07-01,Ang Mo Kio,4-room,492000.0
2013-07-01,Ang Mo Kio,5-room,
2013-10-01,Ang Mo Kio,3-room,356000.0
2013-10-01,Ang Mo Kio,4-room,485000.0
2013-10-01,Ang Mo Kio,5-room,
2014-01-01,Ang Mo Kio,3-room,345000.0
2014-01-01,Ang Mo Kio,4-room,482000.0
2014-01-01,Ang Mo Kio,5-room,
2014-04-01,Ang Mo Kio,3-room,355000.0
2014-04-01,Ang Mo Kio,4-room,478000.0
2014-04-01,Ang Mo Kio,5-room,635000.0
2014-07-01,Ang Mo Kio,3-room,338000.0
2014-07-01,Ang Mo Kio,4-room,465000.0
2014-07-01,Ang Mo Kio,5-room,
2014-10-01,Ang Mo Kio,3-room,335000.0
2014-10-01,Ang Mo Kio,4-room,451000.0
2014-10-01,Ang Mo Kio,5-room,
2015-01-01,Ang Mo Kio,3-room,322000.0
2015-01-01,Ang Mo Kio,4-room,467500.0
2015-01-01,Ang Mo Kio,5-room,
2015-04-01,Ang Mo Kio,3-room,313500.0
2015-04-01,Ang Mo Kio,4-room,450000.0
2015-04-01,Ang Mo Kio,5-room,640000.0
2015-07-01,Ang Mo Kio,3-room,320000.0
2015-07-01,Ang Mo Kio,4-room,450000.0
2015-07-01,Ang Mo Kio,5-room,633000.0
2015-10-01,Ang Mo Kio,3-room,318000.0
2015-10-01,Ang Mo Kio,4-room,464000.0
2015-10-01,Ang Mo Kio,5-room,648000.0
2016-01-01,Ang Mo Kio,3-room,318000.0
2016-01-01,Ang Mo Kio,4-room,465000.0
2016-01-01,Ang Mo Kio,5-room,680000.0
2016-04-01,Ang Mo Kio,3-room,318000.0
2016-04-01,Ang Mo Kio,4-room,468000.0
2016-04-01,Ang Mo Kio,5-room,650000.0
2016-07-01,Ang Mo Kio,3-room,320000.0
2016-07-01,Ang Mo Kio,4-room,459000.0
2016-07-01,Ang Mo Kio,5-room,655000.0
2016-10-01,Ang Mo Kio,3-room,318000.0
2016-10-01,Ang Mo Kio,4-room,469000.0
2016-10-01,Ang Mo Kio,5-room,700000.0
2017-01-01,Ang Mo Kio,3-room,315000.0
2017-01-01,Ang Mo Kio,4-room,460000.0
2017-01-01,Ang Mo Kio,5-room,688000.0
2017-04-01,Ang Mo Kio,3-room,308900.0
2017-04-01,Ang Mo Kio,4-room,465500.0
2017-04-01,Ang Mo Kio,5-room,667500.0
2017-07-01,Ang Mo Kio,3-room,310000.0
2017-07-01,Ang Mo Kio,4-room,458000.0
2017-07-01,Ang Mo Kio,5-room,665000.0
2017-10-01,Ang Mo Kio,3-room,300000.0
2017-10-01,Ang Mo Kio,4-room,464000.0
2017-10-01,Ang Mo Kio,5-room,660000.0
2018-01-01,Ang Mo Kio,3-room,288400.0
2018-01-01,Ang Mo Kio,4-room,452000.0
2018-01-01,Ang Mo Kio,5-room,659000.0
2018-04-01,Ang Mo Kio,3-room,290000.0
2018-04-01,Ang Mo Kio,4-room,460000.0
2018-04-01,Ang Mo Kio,5-room,697500.0
2018-07-01,Ang Mo Kio,3-room,290000.0
2018-07-01,Ang Mo Kio,4-room,440000.0
2018-07-01,Ang Mo Kio,5-room,699900.0
2018-10-01,Ang Mo Kio,3-room,280000.0
2018-10-01,Ang Mo Kio,4-room,420000.0
2018-10-01,Ang Mo Kio,5-room,735900.0
2019-01-01,Ang Mo Kio,3-room,271500.0
2019-01-01,Ang Mo Kio,4-room,406500.0
2019-01-01,Ang Mo Kio,5-room,677500.0
2019-04-01,Ang Mo Kio,3-room,272000.0
2019-04-01,Ang Mo Kio,4-room,412500.0
2019-04-01,Ang Mo Kio,5-room,680000.0
2019-07-01,Ang Mo Kio,3-room,280000.0
2019-07-01,Ang Mo Kio,4-room,408000.0
2019-07-01,Ang Mo Kio,5-room,597500.0
2019-10-01,Ang Mo Kio,3-room,270000.0
2019-10-01,Ang Mo Kio,4-room,397500.0
2019-10-01,Ang Mo Kio,5-room,614000.0
2020-01-01,Ang Mo Kio,3-room,269500.0
2020-01-01,Ang Mo Kio,4-room,397500.0
2020-01-01,Ang Mo Kio,5-room,590400.0
2020-04-01,Ang Mo Kio,3-room,272000.0
2020-04-01,Ang Mo Kio,4-room,405000.0
2020-04-01,Ang Mo Kio,5-room,555000.0
2020-07-01,Ang Mo Kio,3-room,277000.0
2020-07-01,Ang Mo Kio,4-room,415000.0
2020-07-01,Ang Mo Kio,5-room,636000.0
2020-10-01,Ang Mo Kio,3-room,300000.0
2020-10-01,Ang Mo Kio,4-room,405400.0
2020-10-01,Ang Mo Kio,5-room,690000.0
2021-01-01,Ang Mo Kio,3-room,305000.0
2021-01-01,Ang Mo Kio,4-room,432500.0
2021-01-01,Ang Mo Kio,5-room,670000.0
2021-04-01,Ang Mo Kio,3-room,322000.0
2021-04-01,Ang Mo Kio,4-room,438000.0
2021-04-01,Ang Mo Kio,5-room,600000.0
2021-07-01,Ang Mo Kio,3-room,330000.0
2021-07-01,Ang Mo Kio,4-room,458000.0
2021-07-01,Ang Mo Kio,5-room,655000.0
2021-10-01,Ang Mo Kio,3-room,340000.0
2021-10-01,Ang Mo Kio,4-room,480000.0
2021-10-01,Ang Mo Kio,5-room,655000.0
2022-01-01,Ang Mo Kio,3-room,350000.0
2022-01-01,Ang Mo Kio,4-room,475000.0
2022-01-01,Ang Mo Kio,5-room,702500.0
2022-04-01,Ang Mo Kio,3-room,365000.0
2022-04-01,Ang Mo Kio,4-room,515000.0
2022-04-01,Ang Mo Kio,5-room,785000.0
2022-07-01,Ang Mo Kio,3-room,365500.0
2022-07-01,Ang Mo Kio,4-room,516500.0
2022-07-01,Ang Mo Kio,5-room,800000.0
2022-10-01,Ang Mo Kio,3-room,378000.0
2022-10-01,Ang Mo Kio,4-room,555000.0
2022-10-01,Ang Mo Kio,5-room,868000.0
2023-01-01,Ang Mo Kio,3-room,380000.0
2023-01-01,Ang Mo Kio,4-room,605900.0
2023-01-01,Ang Mo Kio,5-room,785000.0
2023-04-01,Ang Mo Kio,3-room,380400.0
2023-04-01,Ang Mo Kio,4-room,520000.0
2023-04-01,Ang Mo Kio,5-room,697500.0
2023-07-01,Ang Mo Kio,3-room,385000.0
2023-07-01,Ang Mo Kio,4-room,538000.0
2023-07-01,Ang Mo Kio,5-room,725500.0
2023-10-01,Ang Mo Kio,3-room,388000.0
2023-10-01,Ang Mo Kio,4-room,594000.0
2023-10-01,Ang Mo Kio,5-room,788000.0
2024-01-01,Ang Mo Kio,3-room,399000.0
2024-01-01,Ang Mo Kio,4-room,531500.0
2024-01-01,Ang Mo Kio,5-room,905000.0
2024-04-01,Ang Mo Kio,3-room,402000.0
2024-04-01,Ang Mo Kio,4-room,612900.0
2024-04-01,Ang Mo Kio,5-room,780000.0
2024-07-01,Ang Mo Kio,3-room,410000.0
2024-07-01,Ang Mo Kio,4-room,568000.0
2024-07-01,Ang Mo Kio,5-room,920000.0
2024-10-01,Ang Mo Kio,3-room,422500.0
2024-10-01,Ang Mo Kio,4-room,590000.0
2024-10-01,Ang Mo Kio,5-room,820000.0
